E,log_g
7.2,5355.49
6.2,5357.88
5.2,5359.07
4.2,5360.15
-6.2,5356.61
-7,5358.05
5.8,5356.85
-8,5355.51
4.8,5358.81
3.8,5360.29
2.8,5361.23
1.8,5361.83
-3.2,5360.96
-4.2,5359.92
-5.2,5358.21
-5,5361.6
-6,5360.04
-2,5364.31
1.2,5361.71
-3.6,5355.39
-1,5364.69
0,5364.83
1,5364.72
-3.8,5360.92
2,5364.36
-2.8,5361.64
3,5363.75
-1.8,5362.02
4,5362.87
5,5361.7
-6.8,5356.59
6,5360.13
-0.8,5362.09
0.2,5361.95
-4.8,5360.01
8,5355.47
2.2,5361.29
-3,5363.69
-4,5362.8
3.2,5360.82
-2.2,5361.61
-1.2,5362.02
0.8,5362.16
-0.2,5362.25
7,5358.19
-5.8,5358.62
